time,level,message,callsite,User
2022-01-09 00:34:11.4558,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 00:41:00.6233,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 00:44:37.9292,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 00:53:49.4735,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 00:56:03.6816,Error,Validation Error!! Error message : System.Collections.Generic.List`1[System.String],CustomTemplateAPI.Filters.CustomValidationFilterAttribute.OnActionExecutionAsync,
2022-01-09 00:59:18.3994,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 01:02:58.5659,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 01:06:12.1478,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2022-01-09 01:11:42.2418,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
