time,level,message,callsite,User
2021-12-25 20:29:16.3935,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2021-12-25 21:13:55.4641,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
2021-12-25 21:18:51.3571,Info,"Request get:/weatherforecast from ClientId anon has been blocked, quota 5/10s exceeded by 1. Blocked by rule *, TraceIdentifier 80000087-0001-fd00-b63f-84710c7967bb. MonitorMode: False",AspNetCoreRateLimit.ClientRateLimitMiddleware.LogBlockedRequest,
2021-12-25 21:18:52.0442,Info,"Request get:/weatherforecast from ClientId anon has been blocked, quota 5/10s exceeded by 2. Blocked by rule *, TraceIdentifier 80000089-0001-fd00-b63f-84710c7967bb. MonitorMode: False",AspNetCoreRateLimit.ClientRateLimitMiddleware.LogBlockedRequest,
2021-12-25 21:18:53.1409,Info,"Request get:/weatherforecast from ClientId anon has been blocked, quota 5/10s exceeded by 3. Blocked by rule *, TraceIdentifier 8000006b-0002-fb00-b63f-84710c7967bb. MonitorMode: False",AspNetCoreRateLimit.ClientRateLimitMiddleware.LogBlockedRequest,
2021-12-25 21:18:53.8310,Info,"Request get:/weatherforecast from ClientId anon has been blocked, quota 5/10s exceeded by 4. Blocked by rule *, TraceIdentifier 8000006d-0002-fb00-b63f-84710c7967bb. MonitorMode: False",AspNetCoreRateLimit.ClientRateLimitMiddleware.LogBlockedRequest,
2021-12-25 21:18:57.3568,Info,"Request get:/weatherforecast from ClientId anon has been blocked, quota 5/10s exceeded by 5. Blocked by rule *, TraceIdentifier 80000067-0003-ff00-b63f-84710c7967bb. MonitorMode: False",AspNetCoreRateLimit.ClientRateLimitMiddleware.LogBlockedRequest,
2021-12-25 21:19:01.3738,Info,"Request get:/weatherforecast from ClientId anon has been blocked, quota 5/10s exceeded by 1. Blocked by rule *, TraceIdentifier 8000006b-0003-ff00-b63f-84710c7967bb. MonitorMode: False",AspNetCoreRateLimit.ClientRateLimitMiddleware.LogBlockedRequest,
2021-12-25 21:27:06.1666,Info,Applicatino Starting,CustomTemplateAPI.Program.Main,
